kind,name,latitude,longitude,color
災害時給水拠点,須磨特1低区配水池,34.6582109200735,135.105471029279,#0000ff
災害時給水拠点,落合特1中区配水池,34.6912527981142,135.091130740806,#0000ff
災害時給水拠点,東白川特2配水池,34.6943807910799,135.110932391165,#0000ff
災害時給水拠点,東垂水中層配水池,34.6399315823185,135.074846053473,#0000ff
災害時給水拠点,西垂水第2高層配水池,34.6567014153148,135.059511579927,#0000ff
災害時給水拠点,西舞子中層配水池,34.6568829741321,135.031583080869,#0000ff
災害時給水拠点,舞子中層配水池,34.6440353966598,135.034743578659,#0000ff
災害時給水拠点,北神戸配水池,34.8747189159084,135.176088411006,#0000ff
災害時給水拠点,北神戸ポンプ場,34.8642262033013,135.203866994079,#0000ff
災害時給水拠点,藤原ポンプ場,34.8331097854993,135.214917466849,#0000ff
災害時給水拠点,淡河高区配水池,34.8231534532142,135.165529921115,#0000ff
災害時給水拠点,淡河低区配水池,34.8120318819773,135.108133905504,#0000ff
災害時給水拠点,淡河中区配水池,34.8120983354398,135.142161297305,#0000ff
災害時給水拠点,平田配水池,34.8483443785635,135.243046324087,#0000ff
災害時給水拠点,藤原低区配水池,34.8160620651317,135.218571857318,#0000ff
災害時給水拠点,有野低区配水池,34.8074372097161,135.229935296297,#0000ff
災害時給水拠点,有馬高区配水池,34.7965670421723,135.25669164007,#0000ff
災害時給水拠点,唐櫃低区配水池,34.7871130701645,135.216006086898,#0000ff
災害時給水拠点,唐櫃高区配水池,34.7847048785,135.216439092864,#0000ff
災害時給水拠点,花山台配水池,34.7765231929715,135.190099773793,#0000ff
災害時給水拠点,下谷上高区配水池,34.7438717043247,135.170888805648,#0000ff
災害時給水拠点,箕谷中区配水池,34.7583545943057,135.147260861675,#0000ff
災害時給水拠点,西鈴蘭台配水池,34.7364721726808,135.13487760958,#0000ff
災害時給水拠点,ひよどり台特2高区配水池,34.7035831528825,135.119262864291,#0000ff
災害時給水拠点,神出高層配水池,34.7412099587189,134.981251959357,#0000ff
災害時給水拠点,岩岡中層配水池,34.712961687802,134.948373845569,#0000ff
災害時給水拠点,宮下公園貯水槽,34.690534383045,134.977453696127,#0000ff
災害時給水拠点,持子公園貯水槽,34.6704706468025,134.983727634376,#0000ff
災害時給水拠点,竹の台公園貯水槽,34.7110204944967,135.008783448052,#0000ff
災害時給水拠点,西神南貯水槽,34.7030253691695,135.03088880863,#0000ff
災害時給水拠点,狩場台特1高区配水池,34.7288378871448,135.032495696562,#0000ff
災害時給水拠点,栄特1中区配水池,34.7397319714881,135.058549408891,#0000ff
災害時給水拠点,押部谷特1配水池,34.7629594163006,135.051302827944,#0000ff
災害時給水拠点,学園特1配水池,34.687242196142,135.069816543348,#0000ff
災害時給水拠点,池上中央公園貯水槽,34.6705811768266,135.025525891052,#0000ff
災害時給水拠点,東小部配水池,34.7247614022863,135.156834271793,#0000ff
災害時給水拠点,福谷中層配水池,34.7192103282682,135.043180866983,#0000ff
災害時給水拠点,王子公園給水拠点,34.7112581285587,135.217554210637,#0000ff
災害時給水拠点,布引給水拠点,34.7039900193662,135.198564951327,#0000ff
災害時給水拠点,王子南給水拠点,34.7063803180727,135.213937151071,#0000ff
災害時給水拠点,板宿中層配水池,34.6627581749432,135.127867330281,#0000ff
災害時給水拠点,見津が丘特1高区配水池,34.73676909879,135.08826616366,#0000ff
災害時給水拠点,石屋川給水拠点,34.7212897873643,135.248977932844,#0000ff
災害時給水拠点,奥平野給水拠点,34.6940966610849,135.176261881608,#0000ff
避難所,東灘小学校,34.7248161,135.2944292,#ff00ff
避難所,本庄小学校,34.72102022,135.2886997,#ff00ff
避難所,本庄中学校,34.72046123,135.2875439,#ff00ff
避難所,東灘高校,34.7099789,135.3010486,#ff00ff
避難所,神戸大学海洋政策科学部,34.7187444,135.2883578,#ff00ff
避難所,魚崎小学校,34.714966,135.271257,#ff00ff
避難所,灘中・高校,34.7191636,135.2684539,#ff00ff
避難所,本山第一小学校,34.7289433,135.2789056,#ff00ff
避難所,甲南女子中・高校,34.7349206,135.2917292,#ff00ff
避難所,甲南女子大学,34.734802,135.287471,#ff00ff
避難所,神戸薬科大学,34.733115,135.2832689,#ff00ff
避難所,本山第二小学校,34.7253269,135.2695758,#ff00ff
避難所,本山中学校,34.7256325,135.2709397,#ff00ff
避難所,甲南大学,34.729734,135.2679925,#ff00ff
避難所,本山第三小学校,34.7280906,135.2864103,#ff00ff
避難所,住吉小学校,34.7175747,135.264485,#ff00ff
避難所,住之江公民館,34.7139751,135.2636564,#ff00ff
避難所,住之江公民館別館,34.7143023,135.2646774,#ff00ff
避難所,呉田会館,34.7107873,135.2624866,#ff00ff
避難所,御影小学校,34.7148111,135.2515083,#ff00ff
避難所,御影高校,34.7169608,135.250575,#ff00ff
避難所,御影公会堂,34.7160708,135.2492512,#ff00ff
避難所,御影北小学校,34.7246294,135.2488056,#ff00ff
避難所,頌栄短期大学,34.7274431,135.2491389,#ff00ff
